========================================================
Starting setup in executable
========================================================
Initialising NuOscillatorConfigs/Binned_OscProb.yaml
OscillatorFactory creating OscillatorBase object from config: NuOscillatorConfigs/Binned_OscProb.yaml
PMNS Type : Fast
Number of parameters : 7
Propagation Method : Atmospheric
PREM Model : ./Inputs/OscProb_prem_4+1layers.txt
Detector depth : 1.5km
========================================================
Setting up Oscillators
Finished setup in executable
========================================================
Starting reweight in executable
Index:       118 | NuType:  1 | OscChan:  1 ->   1 | Energy:   1.29132 | CosZ: -0.666667 | Prob:  0.921537
Index:       119 | NuType:  1 | OscChan:  1 ->   1 | Energy:   1.48264 | CosZ: -0.666667 | Prob:  0.968287
Index:       120 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.7023 | CosZ: -0.666667 | Prob:  0.990024
Index:       121 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.9545 | CosZ: -0.666667 | Prob:  0.911588
Index:       122 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.24406 | CosZ: -0.666667 | Prob:  0.953732
Index:       123 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.57653 | CosZ: -0.666667 | Prob:   0.93497
Index:       124 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.95825 | CosZ: -0.666667 | Prob:  0.944987
Index:       125 | NuType:  1 | OscChan:  1 ->   1 | Energy:   3.39653 | CosZ: -0.666667 | Prob:  0.807931
Index:       126 | NuType:  1 | OscChan:  1 ->   1 | Energy:   3.89974 | CosZ: -0.666667 | Prob:  0.978038
Index:       127 | NuType:  1 | OscChan:  1 ->   1 | Energy:    4.4775 | CosZ: -0.666667 | Prob:  0.875037
Index:       128 | NuType:  1 | OscChan:  1 ->   1 | Energy:   5.14085 | CosZ: -0.666667 | Prob:  0.437285
Index:       129 | NuType:  1 | OscChan:  1 ->   1 | Energy:   5.90249 | CosZ: -0.666667 | Prob:  0.130401
Index:       130 | NuType:  1 | OscChan:  1 ->   1 | Energy:   6.77697 | CosZ: -0.666667 | Prob:  0.140259
Index:       131 | NuType:  1 | OscChan:  1 ->   1 | Energy:     7.781 | CosZ: -0.666667 | Prob:  0.343982
Index:       132 | NuType:  1 | OscChan:  1 ->   1 | Energy:   8.93378 | CosZ: -0.666667 | Prob:  0.578628
Index:       133 | NuType:  1 | OscChan:  1 ->   1 | Energy:   10.2574 | CosZ: -0.666667 | Prob:  0.761302
Index:       134 | NuType:  1 | OscChan:  1 ->   1 | Energy:    11.777 | CosZ: -0.666667 | Prob:  0.877726
Index:       135 | NuType:  1 | OscChan:  1 ->   1 | Energy:   13.5218 | CosZ: -0.666667 | Prob:  0.942786
Index:       136 | NuType:  1 | OscChan:  1 ->   1 | Energy:   15.5251 | CosZ: -0.666667 | Prob:  0.975639
Index:       137 | NuType:  1 | OscChan:  1 ->   1 | Energy:   17.8252 | CosZ: -0.666667 | Prob:  0.990771
Index:       138 | NuType:  1 | OscChan:  1 ->   1 | Energy:   20.4661 | CosZ: -0.666667 | Prob:  0.997063
Index:       139 | NuType:  1 | OscChan:  1 ->   1 | Energy:   23.4982 | CosZ: -0.666667 | Prob:  0.999322
Index:       140 | NuType:  1 | OscChan:  1 ->   1 | Energy:   26.9796 | CosZ: -0.666667 | Prob:  0.999921
Index:       141 | NuType:  1 | OscChan:  1 ->   1 | Energy:   30.9767 | CosZ: -0.666667 | Prob:  0.999937
Index:       142 | NuType:  1 | OscChan:  1 ->   1 | Energy:    35.566 | CosZ: -0.666667 | Prob:  0.999811
Index:       143 | NuType:  1 | OscChan:  1 ->   1 | Energy:   40.8353 | CosZ: -0.666667 | Prob:  0.999699
Index:       144 | NuType:  1 | OscChan:  1 ->   1 | Energy:   46.8852 | CosZ: -0.666667 | Prob:  0.999639
Index:       145 | NuType:  1 | OscChan:  1 ->   1 | Energy:   53.8314 | CosZ: -0.666667 | Prob:  0.999626
Index:       146 | NuType:  1 | OscChan:  1 ->   1 | Energy:   61.8067 | CosZ: -0.666667 | Prob:  0.999645
Index:       147 | NuType:  1 | OscChan:  1 ->   1 | Energy:   70.9636 | CosZ: -0.666667 | Prob:  0.999681
Index:       148 | NuType:  1 | OscChan:  1 ->   1 | Energy:   81.4771 | CosZ: -0.666667 | Prob:  0.999725
Index:       149 | NuType:  1 | OscChan:  1 ->   1 | Energy:   93.5482 | CosZ: -0.666667 | Prob:   0.99977
Index:       150 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.107408 | CosZ: -0.533333 | Prob:  0.654564
Index:       151 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.123321 | CosZ: -0.533333 | Prob:  0.055327
Index:       152 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.141591 | CosZ: -0.533333 | Prob:   0.09466
Index:       153 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.162568 | CosZ: -0.533333 | Prob:   0.44112
Index:       154 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.186653 | CosZ: -0.533333 | Prob:  0.777608
Index:       155 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.214306 | CosZ: -0.533333 | Prob:  0.958291
Index:       156 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.246057 | CosZ: -0.533333 | Prob:  0.943417
Index:       157 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.282511 | CosZ: -0.533333 | Prob:  0.990403
Index:       158 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.324366 | CosZ: -0.533333 | Prob:  0.956465
Index:       159 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.372422 | CosZ: -0.533333 | Prob:  0.969061
Index:       160 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.427598 | CosZ: -0.533333 | Prob:  0.896119
Index:       161 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.490948 | CosZ: -0.533333 | Prob:  0.880428
Index:       162 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.563684 | CosZ: -0.533333 | Prob:  0.911789
Index:       163 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.647195 | CosZ: -0.533333 | Prob:  0.983924
Index:       164 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.74308 | CosZ: -0.533333 | Prob:  0.905877
Index:       165 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.85317 | CosZ: -0.533333 | Prob:  0.896882
Index:       166 | NuType:  1 | OscChan:  1 ->   1 | Energy:   0.97957 | CosZ: -0.533333 | Prob:   0.91918
Index:       167 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.1247 | CosZ: -0.533333 | Prob:  0.899924
Index:       168 | NuType:  1 | OscChan:  1 ->   1 | Energy:   1.29132 | CosZ: -0.533333 | Prob:  0.889801
Index:       169 | NuType:  1 | OscChan:  1 ->   1 | Energy:   1.48264 | CosZ: -0.533333 | Prob:  0.993065
Index:       170 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.7023 | CosZ: -0.533333 | Prob:  0.898951
Index:       171 | NuType:  1 | OscChan:  1 ->   1 | Energy:    1.9545 | CosZ: -0.533333 | Prob:  0.965887
Index:       172 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.24406 | CosZ: -0.533333 | Prob:  0.921835
Index:       173 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.57653 | CosZ: -0.533333 | Prob:   0.99099
Index:       174 | NuType:  1 | OscChan:  1 ->   1 | Energy:   2.95825 | CosZ: -0.533333 | Prob:  0.890017
Index:       175 | NuType:  1 | OscChan:  1 ->   1 | Energy:   3.39653 | CosZ: -0.533333 | Prob:  0.961342
Index:       176 | NuType:  1 | OscChan:  1 ->   1 | Energy:   3.89974 | CosZ: -0.533333 | Prob:   0.97412
Index:       177 | NuType:  1 | OscChan:  1 ->   1 | Energy:    4.4775 | CosZ: -0.533333 | Prob:   0.73518
Index:       178 | NuType:  1 | OscChan:  1 ->   1 | Energy:   5.14085 | CosZ: -0.533333 | Prob:  0.445255
Index:       179 | NuType:  1 | OscChan:  1 ->   1 | Energy:   5.90249 | CosZ: -0.533333 | Prob:  0.306951
Index:       180 | NuType:  1 | OscChan:  1 ->   1 | Energy:   6.77697 | CosZ: -0.533333 | Prob:  0.341142
Index:       181 | NuType:  1 | OscChan:  1 ->   1 | Energy:     7.781 | CosZ: -0.533333 | Prob:  0.470463
Index:       182 | NuType:  1 | OscChan:  1 ->   1 | Energy:   8.93378 | CosZ: -0.533333 | Prob:  0.618907
Index:       183 | NuType:  1 | OscChan:  1 ->   1 | Energy:   10.2574 | CosZ: -0.533333 | Prob:  0.745597
Index:       184 | NuType:  1 | OscChan:  1 ->   1 | Energy:    11.777 | CosZ: -0.533333 | Prob:  0.838771
Index:       185 | NuType:  1 | OscChan:  1 ->   1 | Energy:   13.5218 | CosZ: -0.533333 | Prob:  0.901443
Index:       186 | NuType:  1 | OscChan:  1 ->   1 | Energy:   15.5251 | CosZ: -0.533333 | Prob:  0.941236
Index:       187 | NuType:  1 | OscChan:  1 ->   1 | Energy:   17.8252 | CosZ: -0.533333 | Prob:  0.965552
Index:       188 | NuType:  1 | OscChan:  1 ->   1 | Energy:   20.4661 | CosZ: -0.533333 | Prob:  0.980031
Index:       189 | NuType:  1 | OscChan:  1 ->   1 | Energy:   23.4982 | CosZ: -0.533333 | Prob:  0.988505
Index:       190 | NuType:  1 | OscChan:  1 ->   1 | Energy:   26.9796 | CosZ: -0.533333 | Prob:  0.993409
Index:       191 | NuType:  1 | OscChan:  1 ->   1 | Energy:   30.9767 | CosZ: -0.533333 | Prob:  0.996227
Index:       192 | NuType:  1 | OscChan:  1 ->   1 | Energy:    35.566 | CosZ: -0.533333 | Prob:  0.997841
Index:       193 | NuType:  1 | OscChan:  1 ->   1 | Energy:   40.8353 | CosZ: -0.533333 | Prob:  0.998763
Index:       194 | NuType:  1 | OscChan:  1 ->   1 | Energy:   46.8852 | CosZ: -0.533333 | Prob:   0.99929
Index:       195 | NuType:  1 | OscChan:  1 ->   1 | Energy:   53.8314 | CosZ: -0.533333 | Prob:  0.999591
Index:       196 | NuType:  1 | OscChan:  1 ->   1 | Energy:   61.8067 | CosZ: -0.533333 | Prob:  0.999764
Index:       197 | NuType:  1 | OscChan:  1 ->   1 | Energy:   70.9636 | CosZ: -0.533333 | Prob:  0.999863
Index:       198 | NuType:  1 | OscChan:  1 ->   1 | Energy:   81.4771 | CosZ: -0.533333 | Prob:   0.99992
Index:       199 | NuType:  1 | OscChan:  1 ->   1 | Energy:   93.5482 | CosZ: -0.533333 | Prob:  0.999953
Index:       200 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.107408 | CosZ:      -0.4 | Prob:   0.19195
Index:       201 | NuType:  1 | OscChan:  1 ->   1 | Energy:  0.123321 | CosZ:      -0.4 | Prob:   0.70431
